"REF_DATE","GEO","DGUID","Class of electricity producer","Type of electricity generation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v52300346","1.1.1","634013155","","","","0"
"2020","Canada","2016A000011124","Total all classes of electricity producer","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units","0","v52300348","1.1.2","420503243","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v52300450","2.1.1","40211797","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units","0","v52300452","2.1.2","38694072","","","","0"
"2020","Prince Edward Island","2016A000211","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v52300471","3.1.1","661519","","","","0"
"2020","Prince Edward Island","2016A000211","Total all classes of electricity producer","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units","0","v52300473","3.1.2","656023","","","","0"
"2020","Nova Scotia","2016A000212","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v52300485","4.1.1","9532578","","","","0"
"2020","Nova Scotia","2016A000212","Total all classes of electricity producer","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units","0","v52300487","4.1.2","2106291","","","","0"
"2020","New Brunswick","2016A000213","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v52300506","5.1.1","12606217","","","","0"
"2020","New Brunswick","2016A000213","Total all classes of electricity producer","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units","0","v52300508","5.1.2","3625869","","","","0"
"2020","Quebec","2016A000224","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v52300527","6.1.1","208422894","","","","0"
"2020","Quebec","2016A000224","Total all classes of electricity producer","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units","0","v52300529","6.1.2","206243364","","","","0"
"2020","Ontario","2016A000235","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v52300550","7.1.1","152651786","","","","0"
"2020","Ontario","2016A000235","Total all classes of electricity producer","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units","0","v52300552","7.1.2","52701614","","","","0"
"2020","Manitoba","2016A000246","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v52300575","8.1.1","37253694","","","","0"
"2020","Manitoba","2016A000246","Total all classes of electricity producer","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units","0","v52300577","8.1.2","37124095","","","","0"
"2020","Saskatchewan","2016A000247","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v52300594","9.1.1","24370710","","","","0"
"2020","Saskatchewan","2016A000247","Total all classes of electricity producer","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units","0","v52300596","9.1.2","5251033","","","","0"
"2020","Alberta","2016A000248","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v52300374","10.1.1","75946217","","","","0"
"2020","Alberta","2016A000248","Total all classes of electricity producer","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units","0","v52300376","10.1.2","8333932","","","","0"
"2020","British Columbia","2016A000259","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v52300397","11.1.1","70945230","","","","0"
"2020","British Columbia","2016A000259","Total all classes of electricity producer","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units","0","v52300399","11.1.2","65046172","","","","0"
"2020","Yukon","2016A000260","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v52300417","12.1.1","532078","","","","0"
"2020","Yukon","2016A000260","Total all classes of electricity producer","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units","0","v52300418","12.1.2","440580","","","","0"
"2020","Northwest Territories","2016A000261","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v52300429","13.1.1","683973","","","","0"
"2020","Northwest Territories","2016A000261","Total all classes of electricity producer","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units","0","v52300431","13.1.2","280198","","","","0"
"2020","Nunavut","2016A000262","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v52300444","14.1.1","194462","","","","0"


